Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","41.27","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","777","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","52.48","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","57.71","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2538","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","59.47","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","33.74","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2017","2017","Kcal/personne/jour","2410","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","46.88","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2017","2017","g/personne/jour","26.79","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","127","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","12.59","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","6.94","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2911","Fc","Donnée calculée"
